iter	Logloss
234	0.6006698998
235	0.6006571619
236	0.6006233195
237	0.600616009
238	0.6005798137
239	0.6005457139
240	0.6005311398
241	0.6004902396
242	0.6004747732
243	0.6004432932
244	0.6004162031
245	0.6004046226
246	0.6003643156
247	0.6003479562
248	0.6003256215
249	0.6002964191
250	0.6002742826
251	0.6002325173
252	0.6001992228
253	0.600167802
254	0.6001395215
255	0.6000984624
256	0.6000869228
257	0.6000763406
258	0.6000341337
259	0.6000004722
260	0.5999653892
261	0.5999420404
262	0.5999153147
263	0.5999052062
264	0.5998627374
265	0.5998332189
266	0.5998294761
267	0.5998211238
268	0.5997720813
269	0.5997456065
270	0.5997220383
271	0.59969192
272	0.5996444622
273	0.5996007211
274	0.599586928
275	0.5995796951
276	0.5995496353
277	0.5995107572
278	0.5994688377
279	0.5994498648
280	0.5994153109
281	0.5994099106
282	0.5993699461
283	0.5993336964
284	0.5993026969
285	0.5992704743
286	0.5992478477
287	0.5992403546
288	0.5992264767
289	0.5991988398
290	0.5991733225
291	0.5991624988
292	0.5991259788
293	0.599107878
294	0.5990950842
295	0.5990877938
296	0.5990566568
297	0.5990275452
298	0.5989891032
299	0.5989427603
300	0.5989153236
301	0.5988768207
302	0.5988641041
303	0.5988367942
304	0.5987971949
305	0.5987690099
306	0.598752465
307	0.5987398013
308	0.5987218459
309	0.5986783001
310	0.5986445881
311	0.5986322485
312	0.5986213712
313	0.5985934773
314	0.5985901806
315	0.5985826265
316	0.5985720528
317	0.5985382412
318	0.5985316314
319	0.5985247487
320	0.5984885984
321	0.5984422558
322	0.5983983114
323	0.5983725085
324	0.598359525
325	0.5983142502
326	0.5982996083
327	0.5982535029
328	0.5982290996
329	0.5982114294
330	0.5981929105
331	0.5981692798
332	0.5981296377
333	0.5980815364
334	0.5980437902
335	0.5980321009
336	0.598021497
337	0.5980092875
338	0.5980052741
339	0.5980024639
340	0.5979971763
341	0.5979636086
342	0.5979428428
343	0.5979304058
344	0.5978955565
345	0.5978945827
346	0.597884296
347	0.5978691364
348	0.5978366762
349	0.5978261737
350	0.5978169431
351	0.5977995539
352	0.5977777721
353	0.5977576715
354	0.5977462935
355	0.5977224523
356	0.5976904712
357	0.5976628439
358	0.5976441574
359	0.597618366
360	0.5976074239
361	0.597576783
362	0.5975419227
363	0.5975378159
364	0.5975267542
365	0.5975126419
366	0.5974970533
367	0.597495166
368	0.5974722388
369	0.5974687132
370	0.5974476492
371	0.5974241481
372	0.5974206279
373	0.5973929668
374	0.5973653082
375	0.5973398971
376	0.5973041264
377	0.5973010275
378	0.5972739051
379	0.5972547755
380	0.5972500988
381	0.5972184004
382	0.5972119349
383	0.597191305
384	0.5971725665
385	0.5971394177
386	0.5971297718
387	0.5971035476
388	0.597078265
389	0.597054703
390	0.597032512
391	0.5970005642
392	0.5969752745
393	0.5969277187
394	0.5969030992
395	0.5968652709
396	0.5968550946
397	0.5968288958
398	0.5967968392
399	0.5967944393
400	0.5967815883
401	0.5967718384
402	0.5967547832
403	0.5967330178
404	0.5967250024
405	0.596713385
406	0.5967039551
407	0.5966689316
408	0.5966389955
409	0.5966288161
410	0.5966202031
411	0.5966022696
412	0.5965709576
413	0.5965468075
414	0.5965406617
415	0.5965184485
416	0.5964962198
417	0.5964694518
418	0.5964515647
419	0.5964155667
420	0.5963957985
421	0.5963838021
422	0.5963734482
423	0.5963427373
424	0.5963325565
425	0.59630788
426	0.596277274
427	0.5962573269
428	0.5962480415
429	0.5962137128
430	0.5961873791
431	0.5961616923
432	0.5961330837
433	0.5961163686
434	0.596108451
435	0.5961047326
436	0.5960723793
437	0.5960662289
438	0.5960568118
439	0.5960328569
440	0.5960040812
441	0.5959757342
442	0.5959684085
443	0.5959491724
444	0.5959472932
445	0.5959268832
446	0.5959126219
447	0.5959086689
448	0.595907565
449	0.5958944086
450	0.5958834797
451	0.5958347435
452	0.5958188023
453	0.595801696
454	0.5957951421
455	0.595770641
456	0.5957668307
457	0.5957466925
458	0.5957154782
459	0.5956853279
460	0.5956694573
461	0.595653808
462	0.5956427432
463	0.5956175497
464	0.5956054418
465	0.5955832657
466	0.595556348
467	0.5955246382
468	0.5955166754
469	0.5955077489
470	0.5955027453
471	0.5954711326
472	0.5954481709
473	0.5954313232
474	0.5954032442
475	0.595385248
476	0.595364607
477	0.5953526325
478	0.5953476258
479	0.5953300887
480	0.5953283546
481	0.5952965171
482	0.5952593565
483	0.5952396202
484	0.5952339006
485	0.5952010559
486	0.5951886447
487	0.5951559481
488	0.5951201132
489	0.59508527
490	0.5950811495
491	0.5950505319
492	0.595041046
493	0.595004284
494	0.5949958117
495	0.5949902037
496	0.5949826004
497	0.5949532838
498	0.5949455468
499	0.5949332368
500	0.594931365
501	0.5948945523
502	0.5948737607
503	0.5948617954
504	0.5948151883
505	0.5947896561
506	0.5947724555
507	0.5947620119
508	0.5947485127
509	0.5947253016
510	0.5947094511
511	0.5946987875
512	0.5946655561
513	0.5946255035
514	0.5946116886
515	0.5945916656
516	0.5945835796
517	0.5945482563
518	0.5945371427
519	0.594506037
520	0.5944867642
521	0.5944743261
522	0.5944454104
523	0.5944277449
524	0.5944128303
525	0.5943822879
526	0.5943445683
527	0.5943397422
528	0.5943299697
529	0.5943085793
530	0.5943054533
531	0.5942956203
532	0.5942860139
533	0.5942770868
534	0.5942444436
535	0.5942269056
536	0.5942087537
537	0.5941766401
538	0.5941603809
539	0.5941556497
540	0.5941172606
541	0.5941140254
542	0.5941088839
543	0.5940953771
544	0.5940898956
545	0.5940523914
546	0.5940357342
547	0.5940119837
548	0.5939970311
549	0.5939896896
550	0.5939685486
551	0.5939530258
552	0.5939382911
553	0.5939131034
554	0.593907811
555	0.5938749525
556	0.5938698022
557	0.5938476895
558	0.5938142718
559	0.593799981
560	0.5937944815
561	0.5937847509
562	0.5937554893
563	0.5937271892
564	0.5937089028
565	0.5936906116
566	0.5936710015
567	0.5936497829
568	0.5936404931
569	0.5936207336
570	0.5936099614
571	0.5936027644
572	0.5935981954
573	0.5935738152
574	0.5935546282
575	0.5935385281
576	0.5934994242
577	0.5934724727
578	0.5934600877
579	0.5934403543
580	0.5934054872
581	0.5933782748
582	0.5933576176
583	0.5933499201
584	0.5933439578
585	0.5933169829
586	0.5932784925
587	0.5932536743
588	0.5932222514
589	0.5932149721
590	0.5931898751
591	0.593182587
592	0.5931667798
593	0.5931605848
594	0.5931438486
595	0.5931131215
596	0.593085735
597	0.5930742152
598	0.5930429743
599	0.5930199668
600	0.5929802203
601	0.5929416399
602	0.5928992342
603	0.5928709045
604	0.592835438
605	0.5928205532
606	0.5928041347
607	0.5927918355
608	0.5927762183
609	0.5927351427
610	0.5927081383
611	0.5926932219
612	0.5926876808
613	0.5926646574
614	0.5926386506
615	0.5926234926
616	0.5926141087
617	0.5926049677
618	0.5925805138
619	0.5925678472
620	0.5925280276
621	0.5924806591
622	0.5924705927
623	0.5924624807
624	0.5924263516
625	0.5923963236
626	0.5923606556
627	0.592322273
628	0.5922882843
629	0.5922629639
630	0.5922236626
631	0.5922167001
632	0.59221096
633	0.5922065464
634	0.5921794396
635	0.5921509437
636	0.5921508464
637	0.5921305333
638	0.5921219284
639	0.5920914391
640	0.5920735739
641	0.5920689708
642	0.5920580689
643	0.5920271436
644	0.5920029132
645	0.5919688194
646	0.5919500584
647	0.5919274489
648	0.5919024486
649	0.5918811626
650	0.5918473634
651	0.5918327552
652	0.5918017222
653	0.5917855382
654	0.5917847599
655	0.5917438654
656	0.5917125042
657	0.5916943688
658	0.5916753546
659	0.5916473644
660	0.5916416785
661	0.5916235934
662	0.591614206
663	0.5915831426
664	0.591553871
665	0.5915316328
666	0.5915011887
667	0.5914931279
668	0.5914595818
669	0.5914515407
670	0.5914512077
671	0.5914402278
672	0.5914109137
673	0.5913918083
674	0.5913682751
675	0.5913438279
676	0.5913266893
677	0.5913153371
678	0.591296904
679	0.5912798138
680	0.5912719486
681	0.5912678485
682	0.5912573334
683	0.5912266936
684	0.5912227531
685	0.5912141028
686	0.5912006962
687	0.5911732682
688	0.5911584037
689	0.5911339979
690	0.5910908017
691	0.5910620943
692	0.5910530638
693	0.5910244901
694	0.5909888101
695	0.5909609271
696	0.5909594718
697	0.5909435559
698	0.5909148473
699	0.5909054376
700	0.5909000489
701	0.5908780977
702	0.5908642846
703	0.5908413437
704	0.5908052176
705	0.5908018627
706	0.5907700353
707	0.590746473
708	0.5907181055
709	0.5907077561
710	0.5906907383
711	0.5906531101
712	0.5906165763
713	0.5905815816
714	0.5905598164
715	0.5905503216
716	0.5905331884
717	0.5904955359
718	0.590471351
719	0.5904432526
720	0.5904369686
721	0.590391559
722	0.5903569644
723	0.5903407611
724	0.5903278335
725	0.5903203379
726	0.5903123645
727	0.590294608
728	0.590285717
729	0.5902565092
730	0.5902442123
731	0.5902078736
732	0.5901809232
733	0.5901460192
734	0.5901058569
735	0.5900730697
736	0.5900496574
737	0.5900440763
738	0.5900348247
739	0.5900092552
740	0.5899891732
741	0.5899621171
742	0.5899387265
743	0.5899243242
744	0.5898878922
745	0.5898754127
746	0.5898448704
747	0.5898397395
748	0.589831689
749	0.5898109488
750	0.5897871302
751	0.5897748747
752	0.5897557946
753	0.5897371514
754	0.5897353524
755	0.5897241387
756	0.5897176918
757	0.5897125209
758	0.5896738725
759	0.5896407117
760	0.5896159957
761	0.5896057395
762	0.5895720269
763	0.5895559611
764	0.5895285563
765	0.5895205151
766	0.5895014224
767	0.5894653316
768	0.5894371324
769	0.5894313127
770	0.5894147609
771	0.5893817247
772	0.5893605491
773	0.5893269637
774	0.5892884025
775	0.5892796605
776	0.5892740072
777	0.5892507218
778	0.5892353687
779	0.5892213691
780	0.5892130315
781	0.5891953555
782	0.5891710887
783	0.5891594669
784	0.5891201971
785	0.5891117251
786	0.5891048882
787	0.5890886732
788	0.589057332
789	0.5890296976
790	0.5890067368
791	0.588976867
792	0.5889403316
793	0.5889271951
794	0.5889055285
795	0.5888873047
796	0.5888799296
797	0.5888755467
798	0.5888416822
799	0.5888220062
800	0.5888200586
801	0.5888096033
802	0.5887986163
803	0.5887695854
804	0.5887465422
805	0.5887292583
806	0.5886961512
807	0.5886924993
808	0.5886715658
809	0.5886538513
810	0.5886165139
811	0.5885877685
812	0.5885803049
813	0.5885700635
814	0.5885536817
815	0.5885426485
816	0.5885116708
817	0.5884874177
818	0.5884719016
819	0.5884644159
820	0.5884345855
821	0.5884295221
822	0.5883980009
823	0.58838754
824	0.5883645643
825	0.5883616447
826	0.5883560684
827	0.5883454605
828	0.5883245102
829	0.5882975174
830	0.5882763248
831	0.5882596806
832	0.5882528766
833	0.5882310432
834	0.5882059371
835	0.5882002267
836	0.5881734034
837	0.5881657539
838	0.5881463719
839	0.5881327776
840	0.5881268756
841	0.5881098916
842	0.5880970032
843	0.5880568731
844	0.5880363991
845	0.5880122681
846	0.5879989469
847	0.5879965245
848	0.5879911391
849	0.5879703585
850	0.5879533309
851	0.5879417281
852	0.5879340023
853	0.5879261305
854	0.5878957543
855	0.5878640471
856	0.5878506274
857	0.5878467973
858	0.5878395848
859	0.5878296954
860	0.5878174551
861	0.5878006582
862	0.5877883642
863	0.5877538657
864	0.587745705
865	0.5877226135
866	0.5877075234
867	0.5876955934
868	0.587674819
869	0.5876452673
870	0.5876399576
871	0.5876312361
872	0.5876097821
873	0.5875899197
874	0.5875759787
875	0.5875416261
876	0.5875245139
877	0.5875075489
878	0.5874948546
879	0.5874679503
880	0.587444235
881	0.5874334795
882	0.5874217586
883	0.5874100764
884	0.5874003398
885	0.5873941335
886	0.5873663153
887	0.5873459637
888	0.5873386098
889	0.5873120214
890	0.5872949096
891	0.5872624682
892	0.5872393744
893	0.5872113982
894	0.5871877506
895	0.5871735587
896	0.5871654954
897	0.587137356
898	0.5871059087
899	0.5870826621
900	0.5870622882
901	0.5870410373
902	0.5870144157
903	0.5870001877
904	0.5869808971
905	0.5869742397
906	0.5869680605
907	0.586948423
908	0.5869193688
909	0.5868942517
910	0.5868907694
911	0.5868840482
912	0.5868612282
913	0.5868363201
914	0.5868176363
915	0.5867909939
916	0.5867552293
917	0.5867491256
918	0.5867392103
919	0.5867298897
920	0.5867226973
921	0.5866996864
922	0.5866704876
923	0.5866419452
924	0.58663311
925	0.586614432
926	0.586581368
927	0.5865405143
928	0.5865241433
929	0.5865167769
930	0.5864855356
931	0.5864597076
932	0.5864284485
933	0.5864160039
934	0.5863932633
935	0.5863754125
936	0.5863753409
937	0.5863663409
938	0.5863371828
939	0.5863216794
940	0.5862852293
941	0.5862608964
942	0.5862258708
943	0.5862093537
944	0.5861932279
945	0.5861806526
946	0.5861522548
947	0.5861262244
948	0.5861099361
949	0.5860968115
950	0.5860923993
951	0.586087144
952	0.5860708868
953	0.5860499564
954	0.5860162978
955	0.5860056823
956	0.5860021511
957	0.5859807969
958	0.5859491126
959	0.5859410609
960	0.5859297416
961	0.5859097616
962	0.5858999483
963	0.5858732054
964	0.5858680667
965	0.58584968
966	0.5858304552
967	0.5858165282
968	0.5858069955
969	0.5858042838
970	0.5857816004
971	0.5857713277
972	0.5857413445
973	0.585708818
974	0.585698887
975	0.5856756303
976	0.5856536627
977	0.5856457111
978	0.5856269546
979	0.5856208409
980	0.5855876082
981	0.5855776609
982	0.5855683441
983	0.5855470305
984	0.585540451
985	0.5855203907
986	0.5855126605
987	0.585498774
988	0.5854749094
989	0.5854649208
990	0.585450037
991	0.5854348473
992	0.5854089755
993	0.5853887148
994	0.5853732984
995	0.5853454698
996	0.5853401085
997	0.5853101479
998	0.5853072384
999	0.5852881378
